"Host:","arldcn24",,,,"User:","root"
"Cmdline:","dstat --output /tmp/dstat-run-2000000.csv -cndy --net-packets",,,,"Date:","16 Jun 2014 16:57:12 CDT"

"total cpu usage",,,,,,"net/total",,"dsk/total",,"system",,"pkt/total",
"usr","sys","idl","wai","hiq","siq","recv","send","read","writ","int","csw","#recv","#send"
35.769,9.424,50.664,0.0,0.0,4.143,9160082.0,23220352.0,0.0,16384.0,506907.0,167242.0,106501.0,106497.0
35.802,10.243,49.701,0.0,0.0,4.255,9214040.0,23363806.0,0.0,28672.0,517889.0,170610.0,107174.0,107166.0
35.499,11.125,49.033,0.0,0.0,4.342,9294248.0,23567222.0,0.0,16384.0,530319.0,172804.0,108070.0,108081.0
35.619,10.508,49.714,0.0,0.0,4.159,9263826.0,23488514.0,0.0,16384.0,520789.0,170266.0,107665.0,107661.0
41.182,12.583,42.707,0.0,0.0,3.527,9530134.0,24165447.0,0.0,16384.0,615681.0,199138.0,110806.0,110807.0
42.321,11.794,42.226,0.032,0.0,3.627,9592514.0,24323265.0,0.0,16384.0,620879.0,198743.0,111625.0,111620.0
42.995,12.889,40.109,0.0,0.0,4.008,9615038.0,24378938.0,0.0,90112.0,663295.0,206502.0,111785.0,111786.0
42.337,11.431,42.432,0.0,0.0,3.800,9520674.0,24139383.0,0.0,32768.0,621969.0,202445.0,110738.0,110732.0
41.184,12.852,42.197,0.032,0.0,3.735,9528988.0,24163629.0,0.0,20480.0,624151.0,202430.0,110802.0,110798.0
41.972,13.006,41.073,0.0,0.0,3.950,9633858.0,24425691.0,0.0,16384.0,643116.0,206874.0,112025.0,112027.0
43.686,12.819,40.147,0.0,0.0,3.348,9646804.0,24462162.0,0.0,16384.0,650418.0,209263.0,112130.0,112125.0
41.188,13.020,42.109,0.0,0.0,3.684,9496072.0,24078082.0,0.0,16384.0,625174.0,203626.0,110427.0,110423.0
39.917,12.977,43.416,0.0,0.0,3.690,9436470.0,23927824.0,0.0,16384.0,614356.0,201785.0,109765.0,109766.0
41.306,11.338,43.758,0.0,0.0,3.599,9410304.0,23857466.0,0.0,36864.0,611094.0,200932.0,109366.0,109369.0
31.789,9.486,54.029,0.0,0.0,4.695,8860626.0,22464800.0,0.0,16384.0,472580.0,159991.0,103067.0,103059.0
31.419,8.632,55.379,0.0,0.0,4.570,8779444.0,22261551.0,0.0,16384.0,458665.0,155118.0,102104.0,102098.0
30.900,9.226,55.829,0.0,0.0,4.044,8753670.0,22198049.0,0.0,90112.0,450652.0,153603.0,101795.0,101797.0
32.191,9.022,54.794,0.0,0.0,3.992,8784776.0,22275887.0,0.0,16384.0,457011.0,155479.0,102046.0,102047.0
31.207,9.349,54.991,0.0,0.0,4.454,8795774.0,22300603.0,0.0,40960.0,458462.0,155907.0,102335.0,102329.0
31.032,9.120,55.668,0.0,0.0,4.180,8760938.0,22212873.0,0.0,16384.0,452470.0,153948.0,101851.0,101848.0
31.907,9.440,54.342,0.0,0.0,4.311,8791082.0,22293413.0,0.0,16384.0,484629.0,156051.0,102220.0,102227.0
30.264,9.622,55.764,0.032,0.0,4.319,8765576.0,22224331.0,0.0,16384.0,452919.0,153953.0,101941.0,101935.0
31.719,9.148,55.112,0.0,0.0,4.020,8796614.0,22304072.0,0.0,20480.0,457875.0,155804.0,102253.0,102251.0
31.331,9.533,55.164,0.0,0.0,3.972,8803038.0,22319535.0,0.0,16384.0,459641.0,155709.0,102374.0,102369.0
31.514,9.527,54.763,0.0,0.0,4.196,8781736.0,22272225.0,0.0,28672.0,461431.0,155804.0,102133.0,102137.0
31.209,9.530,55.191,0.0,0.0,4.071,8783228.0,22267657.0,0.0,16384.0,455491.0,154694.0,102127.0,102125.0
31.675,9.761,54.817,0.031,0.0,3.715,8803960.0,22320482.0,0.0,90112.0,459895.0,155225.0,102382.0,102376.0
31.096,9.816,54.877,0.0,0.0,4.212,8815404.0,22355516.0,0.0,16384.0,464222.0,156022.0,102504.0,102503.0
32.247,9.557,53.829,0.0,0.032,4.335,8869100.0,22488455.0,0.0,28672.0,475428.0,159089.0,103121.0,103117.0
30.867,9.424,55.566,0.0,0.0,4.143,8770086.0,22243832.0,0.0,16384.0,455615.0,153834.0,101997.0,101993.0
31.532,9.218,55.213,0.0,0.0,4.037,8811048.0,22333202.0,0.0,28672.0,459677.0,155786.0,102404.0,102403.0
31.499,8.729,55.534,0.0,0.0,4.238,8777350.0,22258158.0,0.0,16384.0,454612.0,154464.0,102094.0,102094.0
